Web Search interest: vrtx
Worldwide 2004 - present

Interest over time
Week,vrtx
2005-11-20 - 2005-11-26,36
2005-11-27 - 2005-12-03,10
2005-12-04 - 2005-12-10,23
2005-12-11 - 2005-12-17,34
2005-12-18 - 2005-12-24,49
2005-12-25 - 2005-12-31,33
2006-01-01 - 2006-01-07,49
2006-01-08 - 2006-01-14,82
2006-01-15 - 2006-01-21,31
2006-01-22 - 2006-01-28,38
2006-01-29 - 2006-02-04,33
2006-02-05 - 2006-02-11,48
2006-02-12 - 2006-02-18,39
2006-02-19 - 2006-02-25,37
2006-02-26 - 2006-03-04,43
2006-03-05 - 2006-03-11,46
2006-03-12 - 2006-03-18,38
2006-03-19 - 2006-03-25,24
2006-03-26 - 2006-04-01,50
2006-04-02 - 2006-04-08,40
2006-04-09 - 2006-04-15,50
2006-04-16 - 2006-04-22,23
2006-04-23 - 2006-04-29,37
2006-04-30 - 2006-05-06,48
2006-05-07 - 2006-05-13,30
2006-05-14 - 2006-05-20,34
2006-05-21 - 2006-05-27,41
2006-05-28 - 2006-06-03,24
2006-06-04 - 2006-06-10,24
2006-06-11 - 2006-06-17,33
2006-06-18 - 2006-06-24,53
2006-06-25 - 2006-07-01,44
2006-07-02 - 2006-07-08,23
2006-07-09 - 2006-07-15,22
2006-07-16 - 2006-07-22,29
2006-07-23 - 2006-07-29,29
2006-07-30 - 2006-08-05,22
2006-08-06 - 2006-08-12,19
2006-08-13 - 2006-08-19,23
2006-08-20 - 2006-08-26,14
2006-08-27 - 2006-09-02,18
2006-09-03 - 2006-09-09,24
2006-09-10 - 2006-09-16,37
2006-09-17 - 2006-09-23,17
2006-09-24 - 2006-09-30,22
2006-10-01 - 2006-10-07,28
2006-10-08 - 2006-10-14,41
2006-10-15 - 2006-10-21,31
2006-10-22 - 2006-10-28,49
2006-10-29 - 2006-11-04,45
2006-11-05 - 2006-11-11,40
2006-11-12 - 2006-11-18,38
2006-11-19 - 2006-11-25,26
2006-11-26 - 2006-12-02,34
2006-12-03 - 2006-12-09,49
2006-12-10 - 2006-12-16,73
2006-12-17 - 2006-12-23,36
2006-12-24 - 2006-12-30,15
2006-12-31 - 2007-01-06,30
2007-01-07 - 2007-01-13,35
2007-01-14 - 2007-01-20,20
2007-01-21 - 2007-01-27,9
2007-01-28 - 2007-02-03,20
2007-02-04 - 2007-02-10,33
2007-02-11 - 2007-02-17,20
2007-02-18 - 2007-02-24,28
2007-02-25 - 2007-03-03,26
2007-03-04 - 2007-03-10,18
2007-03-11 - 2007-03-17,22
2007-03-18 - 2007-03-24,23
2007-03-25 - 2007-03-31,25
2007-04-01 - 2007-04-07,29
2007-04-08 - 2007-04-14,58
2007-04-15 - 2007-04-21,62
2007-04-22 - 2007-04-28,27
2007-04-29 - 2007-05-05,34
2007-05-06 - 2007-05-12,32
2007-05-13 - 2007-05-19,30
2007-05-20 - 2007-05-26,30
2007-05-27 - 2007-06-02,16
2007-06-03 - 2007-06-09,22
2007-06-10 - 2007-06-16,21
2007-06-17 - 2007-06-23,19
2007-06-24 - 2007-06-30,30
2007-07-01 - 2007-07-07,27
2007-07-08 - 2007-07-14,12
2007-07-15 - 2007-07-21,28
2007-07-22 - 2007-07-28,31
2007-07-29 - 2007-08-04,21
2007-08-05 - 2007-08-11,31
2007-08-12 - 2007-08-18,40
2007-08-19 - 2007-08-25,18
2007-08-26 - 2007-09-01,35
2007-09-02 - 2007-09-08,27
2007-09-09 - 2007-09-15,23
2007-09-16 - 2007-09-22,22
2007-09-23 - 2007-09-29,16
2007-09-30 - 2007-10-06,24
2007-10-07 - 2007-10-13,16
2007-10-14 - 2007-10-20,20
2007-10-21 - 2007-10-27,16
2007-10-28 - 2007-11-03,19
2007-11-04 - 2007-11-10,35
2007-11-11 - 2007-11-17,12
2007-11-18 - 2007-11-24,13
2007-11-25 - 2007-12-01,18
2007-12-02 - 2007-12-08,20
2007-12-09 - 2007-12-15,9
2007-12-16 - 2007-12-22,12
2007-12-23 - 2007-12-29,10
2007-12-30 - 2008-01-05,15
2008-01-06 - 2008-01-12,20
2008-01-13 - 2008-01-19,26
2008-01-20 - 2008-01-26,9
2008-01-27 - 2008-02-02,30
2008-02-03 - 2008-02-09,16
2008-02-10 - 2008-02-16,24
2008-02-17 - 2008-02-23,14
2008-02-24 - 2008-03-01,19
2008-03-02 - 2008-03-08,12
2008-03-09 - 2008-03-15,22
2008-03-16 - 2008-03-22,12
2008-03-23 - 2008-03-29,16
2008-03-30 - 2008-04-05,36
2008-04-06 - 2008-04-12,23
2008-04-13 - 2008-04-19,23
2008-04-20 - 2008-04-26,28
2008-04-27 - 2008-05-03,23
2008-05-04 - 2008-05-10,22
2008-05-11 - 2008-05-17,23
2008-05-18 - 2008-05-24,21
2008-05-25 - 2008-05-31,23
2008-06-01 - 2008-06-07,27
2008-06-08 - 2008-06-14,34
2008-06-15 - 2008-06-21,24
2008-06-22 - 2008-06-28,19
2008-06-29 - 2008-07-05,16
2008-07-06 - 2008-07-12,16
2008-07-13 - 2008-07-19,13
2008-07-20 - 2008-07-26,21
2008-07-27 - 2008-08-02,18
2008-08-03 - 2008-08-09,29
2008-08-10 - 2008-08-16,26
2008-08-17 - 2008-08-23,25
2008-08-24 - 2008-08-30,19
2008-08-31 - 2008-09-06,15
2008-09-07 - 2008-09-13,17
2008-09-14 - 2008-09-20,16
2008-09-21 - 2008-09-27,20
2008-09-28 - 2008-10-04,25
2008-10-05 - 2008-10-11,19
2008-10-12 - 2008-10-18,23
2008-10-19 - 2008-10-25,17
2008-10-26 - 2008-11-01,20
2008-11-02 - 2008-11-08,16
2008-11-09 - 2008-11-15,17
2008-11-16 - 2008-11-22,14
2008-11-23 - 2008-11-29,18
2008-11-30 - 2008-12-06,12
2008-12-07 - 2008-12-13,14
2008-12-14 - 2008-12-20,15
2008-12-21 - 2008-12-27,15
2008-12-28 - 2009-01-03,15
2009-01-04 - 2009-01-10,15
2009-01-11 - 2009-01-17,19
2009-01-18 - 2009-01-24,18
2009-01-25 - 2009-01-31,10
2009-02-01 - 2009-02-07,14
2009-02-08 - 2009-02-14,17
2009-02-15 - 2009-02-21,17
2009-02-22 - 2009-02-28,12
2009-03-01 - 2009-03-07,21
2009-03-08 - 2009-03-14,12
2009-03-15 - 2009-03-21,15
2009-03-22 - 2009-03-28,12
2009-03-29 - 2009-04-04,13
2009-04-05 - 2009-04-11,11
2009-04-12 - 2009-04-18,13
2009-04-19 - 2009-04-25,14
2009-04-26 - 2009-05-02,24
2009-05-03 - 2009-05-09,10
2009-05-10 - 2009-05-16,19
2009-05-17 - 2009-05-23,10
2009-05-24 - 2009-05-30,13
2009-05-31 - 2009-06-06,20
2009-06-07 - 2009-06-13,15
2009-06-14 - 2009-06-20,8
2009-06-21 - 2009-06-27,18
2009-06-28 - 2009-07-04,18
2009-07-05 - 2009-07-11,13
2009-07-12 - 2009-07-18,11
2009-07-19 - 2009-07-25,12
2009-07-26 - 2009-08-01,17
2009-08-02 - 2009-08-08,17
2009-08-09 - 2009-08-15,9
2009-08-16 - 2009-08-22,10
2009-08-23 - 2009-08-29,9
2009-08-30 - 2009-09-05,11
2009-09-06 - 2009-09-12,16
2009-09-13 - 2009-09-19,14
2009-09-20 - 2009-09-26,11
2009-09-27 - 2009-10-03,13
2009-10-04 - 2009-10-10,12
2009-10-11 - 2009-10-17,11
2009-10-18 - 2009-10-24,9
2009-10-25 - 2009-10-31,13
2009-11-01 - 2009-11-07,17
2009-11-08 - 2009-11-14,22
2009-11-15 - 2009-11-21,11
2009-11-22 - 2009-11-28,10
2009-11-29 - 2009-12-05,12
2009-12-06 - 2009-12-12,9
2009-12-13 - 2009-12-19,10
2009-12-20 - 2009-12-26,6
2009-12-27 - 2010-01-02,8
2010-01-03 - 2010-01-09,13
2010-01-10 - 2010-01-16,11
2010-01-17 - 2010-01-23,9
2010-01-24 - 2010-01-30,12
2010-01-31 - 2010-02-06,11
2010-02-07 - 2010-02-13,11
2010-02-14 - 2010-02-20,10
2010-02-21 - 2010-02-27,6
2010-02-28 - 2010-03-06,5
2010-03-07 - 2010-03-13,11
2010-03-14 - 2010-03-20,10
2010-03-21 - 2010-03-27,11
2010-03-28 - 2010-04-03,7
2010-04-04 - 2010-04-10,13
2010-04-11 - 2010-04-17,9
2010-04-18 - 2010-04-24,13
2010-04-25 - 2010-05-01,10
2010-05-02 - 2010-05-08,10
2010-05-09 - 2010-05-15,10
2010-05-16 - 2010-05-22,11
2010-05-23 - 2010-05-29,26
2010-05-30 - 2010-06-05,12
2010-06-06 - 2010-06-12,13
2010-06-13 - 2010-06-19,11
2010-06-20 - 2010-06-26,8
2010-06-27 - 2010-07-03,7
2010-07-04 - 2010-07-10,9
2010-07-11 - 2010-07-17,9
2010-07-18 - 2010-07-24,9
2010-07-25 - 2010-07-31,9
2010-08-01 - 2010-08-07,13
2010-08-08 - 2010-08-14,9
2010-08-15 - 2010-08-21,9
2010-08-22 - 2010-08-28,11
2010-08-29 - 2010-09-04,10
2010-09-05 - 2010-09-11,8
2010-09-12 - 2010-09-18,11
2010-09-19 - 2010-09-25,15
2010-09-26 - 2010-10-02,12
2010-10-03 - 2010-10-09,10
2010-10-10 - 2010-10-16,24
2010-10-17 - 2010-10-23,18
2010-10-24 - 2010-10-30,14
2010-10-31 - 2010-11-06,15
2010-11-07 - 2010-11-13,13
2010-11-14 - 2010-11-20,14
2010-11-21 - 2010-11-27,14
2010-11-28 - 2010-12-04,11
2010-12-05 - 2010-12-11,12
2010-12-12 - 2010-12-18,15
2010-12-19 - 2010-12-25,17
2010-12-26 - 2011-01-01,9
2011-01-02 - 2011-01-08,11
2011-01-09 - 2011-01-15,15
2011-01-16 - 2011-01-22,18
2011-01-23 - 2011-01-29,18
2011-01-30 - 2011-02-05,16
2011-02-06 - 2011-02-12,16
2011-02-13 - 2011-02-19,13
2011-02-20 - 2011-02-26,29
2011-02-27 - 2011-03-05,27
2011-03-06 - 2011-03-12,22
2011-03-13 - 2011-03-19,17
2011-03-20 - 2011-03-26,18
2011-03-27 - 2011-04-02,23
2011-04-03 - 2011-04-09,12
2011-04-10 - 2011-04-16,11
2011-04-17 - 2011-04-23,16
2011-04-24 - 2011-04-30,65
2011-05-01 - 2011-05-07,23
2011-05-08 - 2011-05-14,27
2011-05-15 - 2011-05-21,20
2011-05-22 - 2011-05-28,41
2011-05-29 - 2011-06-04,12
2011-06-05 - 2011-06-11,24
2011-06-12 - 2011-06-18,17
2011-06-19 - 2011-06-25,11
2011-06-26 - 2011-07-02,16
2011-07-03 - 2011-07-09,10
2011-07-10 - 2011-07-16,16
2011-07-17 - 2011-07-23,11
2011-07-24 - 2011-07-30,20
2011-07-31 - 2011-08-06,18
2011-08-07 - 2011-08-13,19
2011-08-14 - 2011-08-20,17
2011-08-21 - 2011-08-27,11
2011-08-28 - 2011-09-03,13
2011-09-04 - 2011-09-10,11
2011-09-11 - 2011-09-17,13
2011-09-18 - 2011-09-24,17
2011-09-25 - 2011-10-01,9
2011-10-02 - 2011-10-08,11
2011-10-09 - 2011-10-15,22
2011-10-16 - 2011-10-22,17
2011-10-23 - 2011-10-29,18
2011-10-30 - 2011-11-05,17
2011-11-06 - 2011-11-12,26
2011-11-13 - 2011-11-19,17
2011-11-20 - 2011-11-26,16
2011-11-27 - 2011-12-03,17
2011-12-04 - 2011-12-10,16
2011-12-11 - 2011-12-17,18
2011-12-18 - 2011-12-24,15
2011-12-25 - 2011-12-31,11
2012-01-01 - 2012-01-07,10
2012-01-08 - 2012-01-14,15
2012-01-15 - 2012-01-21,14
2012-01-22 - 2012-01-28,12
2012-01-29 - 2012-02-04,34
2012-02-05 - 2012-02-11,19
2012-02-12 - 2012-02-18,15
2012-02-19 - 2012-02-25,15
2012-02-26 - 2012-03-03,13
2012-03-04 - 2012-03-10,15
2012-03-11 - 2012-03-17,16
2012-03-18 - 2012-03-24,17
2012-03-25 - 2012-03-31,14
2012-04-01 - 2012-04-07,15
2012-04-08 - 2012-04-14,14
2012-04-15 - 2012-04-21,13
2012-04-22 - 2012-04-28,11
2012-04-29 - 2012-05-05,16
2012-05-06 - 2012-05-12,69
2012-05-13 - 2012-05-19,31
2012-05-20 - 2012-05-26,22
2012-05-27 - 2012-06-02,31
2012-06-03 - 2012-06-09,15
2012-06-10 - 2012-06-16,10
2012-06-17 - 2012-06-23,14
2012-06-24 - 2012-06-30,22
2012-07-01 - 2012-07-07,14
2012-07-08 - 2012-07-14,12
2012-07-15 - 2012-07-21,14
2012-07-22 - 2012-07-28,14
2012-07-29 - 2012-08-04,17
2012-08-05 - 2012-08-11,14
2012-08-12 - 2012-08-18,15
2012-08-19 - 2012-08-25,10
2012-08-26 - 2012-09-01,11
2012-09-02 - 2012-09-08,12
2012-09-09 - 2012-09-15,16
2012-09-16 - 2012-09-22,12
2012-09-23 - 2012-09-29,15
2012-09-30 - 2012-10-06,17
2012-10-07 - 2012-10-13,28
2012-10-14 - 2012-10-20,15
2012-10-21 - 2012-10-27,19
2012-10-28 - 2012-11-03,17
2012-11-04 - 2012-11-10,16
2012-11-11 - 2012-11-17,15
2012-11-18 - 2012-11-24,14
2012-11-25 - 2012-12-01,15
2012-12-02 - 2012-12-08,16
2012-12-09 - 2012-12-15,12
2012-12-16 - 2012-12-22,18
2012-12-23 - 2012-12-29,11
2012-12-30 - 2013-01-05,15
2013-01-06 - 2013-01-12,14
2013-01-13 - 2013-01-19,14
2013-01-20 - 2013-01-26,11
2013-01-27 - 2013-02-02,14
2013-02-03 - 2013-02-09,8
2013-02-10 - 2013-02-16,8
2013-02-17 - 2013-02-23,10
2013-02-24 - 2013-03-02,13
2013-03-03 - 2013-03-09,14
2013-03-10 - 2013-03-16,12
2013-03-17 - 2013-03-23,12
2013-03-24 - 2013-03-30,13
2013-03-31 - 2013-04-06,11
2013-04-07 - 2013-04-13,9
2013-04-14 - 2013-04-20,54
2013-04-21 - 2013-04-27,37
2013-04-28 - 2013-05-04,22
2013-05-05 - 2013-05-11,18
2013-05-12 - 2013-05-18,16
2013-05-19 - 2013-05-25,15
2013-05-26 - 2013-06-01,16
2013-06-02 - 2013-06-08,68
2013-06-09 - 2013-06-15,56
2013-06-16 - 2013-06-22,38
2013-06-23 - 2013-06-29,52
2013-06-30 - 2013-07-06,49
2013-07-07 - 2013-07-13,44
2013-07-14 - 2013-07-20,46
2013-07-21 - 2013-07-27,47
2013-07-28 - 2013-08-03,49
2013-08-04 - 2013-08-10,36
2013-08-11 - 2013-08-17,36
2013-08-18 - 2013-08-24,37
2013-08-25 - 2013-08-31,41
2013-09-01 - 2013-09-07,40
2013-09-08 - 2013-09-14,48
2013-09-15 - 2013-09-21,45
2013-09-22 - 2013-09-28,42
2013-09-29 - 2013-10-05,50
2013-10-06 - 2013-10-12,44
2013-10-13 - 2013-10-19,47
2013-10-20 - 2013-10-26,50
2013-10-27 - 2013-11-02,53
2013-11-03 - 2013-11-09,45
2013-11-10 - 2013-11-16,44
2013-11-17 - 2013-11-23,49
2013-11-24 - 2013-11-30,38
2013-12-01 - 2013-12-07,45
2013-12-08 - 2013-12-14,39
2013-12-15 - 2013-12-21,45
2013-12-22 - 2013-12-28,21
2013-12-29 - 2014-01-04,21
2014-01-05 - 2014-01-11,48
2014-01-12 - 2014-01-18,43
2014-01-19 - 2014-01-25,48
2014-01-26 - 2014-02-01,42
2014-02-02 - 2014-02-08,43
2014-02-09 - 2014-02-15,43
2014-02-16 - 2014-02-22,44
2014-02-23 - 2014-03-01,36
2014-03-02 - 2014-03-08,44
2014-03-09 - 2014-03-15,39
2014-03-16 - 2014-03-22,43
2014-03-23 - 2014-03-29,41
2014-03-30 - 2014-04-05,40
2014-04-06 - 2014-04-12,45
2014-04-13 - 2014-04-19,38
2014-04-20 - 2014-04-26,43
2014-04-27 - 2014-05-03,47
2014-05-04 - 2014-05-10,42
2014-05-11 - 2014-05-17,38
2014-05-18 - 2014-05-24,48
2014-05-25 - 2014-05-31,43
2014-06-01 - 2014-06-07,52
2014-06-08 - 2014-06-14,50
2014-06-15 - 2014-06-21,50
2014-06-22 - 2014-06-28,100
2014-06-29 - 2014-07-05,51
2014-07-06 - 2014-07-12,43
2014-07-13 - 2014-07-19,45
2014-07-20 - 2014-07-26,40
2014-07-27 - 2014-08-02,45
2014-08-03 - 2014-08-09,39
2014-08-10 - 2014-08-16,35
2014-08-17 - 2014-08-23,37
2014-08-24 - 2014-08-30,32
2014-08-31 - 2014-09-06,33
2014-09-07 - 2014-09-13,38
2014-09-14 - 2014-09-20,40
2014-09-21 - 2014-09-27,46
2014-09-28 - 2014-10-04,43
2014-10-05 - 2014-10-11,39
2014-10-12 - 2014-10-18,37
2014-10-19 - 2014-10-25,39
2014-10-26 - 2014-11-01,32
2014-11-02 - 2014-11-08,37
2014-11-09 - 2014-11-15,33
2014-11-16 - 2014-11-22,41
2014-11-23 - 2014-11-29,33
2014-11-30 - 2014-12-06,40
2014-12-07 - 2014-12-13,33
2014-12-14 - 2014-12-20,35
2014-12-21 - 2014-12-27,22
2014-12-28 - 2015-01-03,21
2015-01-04 - 2015-01-10,36
2015-01-11 - 2015-01-17,39
2015-01-18 - 2015-01-24,38
2015-01-25 - 2015-01-31,40
2015-02-01 - 2015-02-07,38
2015-02-08 - 2015-02-14,37
2015-02-15 - 2015-02-21,35
2015-02-22 - 2015-02-28,39
2015-03-01 - 2015-03-07,49
2015-03-08 - 2015-03-14,34
2015-03-15 - 2015-03-21,41
2015-03-22 - 2015-03-28,47
2015-03-29 - 2015-04-04,33
2015-04-05 - 2015-04-11,34
2015-04-12 - 2015-04-18,37
2015-04-19 - 2015-04-25,37
2015-04-26 - 2015-05-02,37
2015-05-03 - 2015-05-09,42
2015-05-10 - 2015-05-16,66
2015-05-17 - 2015-05-23,37
2015-05-24 - 2015-05-30,37
2015-05-31 - 2015-06-06,39
2015-06-07 - 2015-06-13,34
2015-06-14 - 2015-06-20,42
2015-06-21 - 2015-06-27,38
2015-06-28 - 2015-07-04,58
2015-07-05 - 2015-07-11,42
2015-07-12 - 2015-07-18,40
2015-07-19 - 2015-07-25,37
2015-07-26 - 2015-08-01,48
2015-08-02 - 2015-08-08,40
2015-08-09 - 2015-08-15,34
2015-08-16 - 2015-08-22,33
2015-08-23 - 2015-08-29,37
2015-08-30 - 2015-09-05,32
2015-09-06 - 2015-09-12,32
2015-09-13 - 2015-09-19,35
2015-09-20 - 2015-09-26,34
2015-09-27 - 2015-10-03,39
2015-10-04 - 2015-10-10,44
2015-10-11 - 2015-10-17,33
2015-10-18 - 2015-10-24,37
2015-10-25 - 2015-10-31,43
2015-11-01 - 2015-11-07,38
2015-11-08 - 2015-11-14,31
2015-11-15 - 2015-11-21,32
2015-11-22 - 2015-11-28,25
2015-11-29 - 2015-12-05,34
2015-12-06 - 2015-12-12,29
2015-12-13 - 2015-12-19,31
2015-12-20 - 2015-12-26,19
2015-12-27 - 2016-01-02,20
2016-01-03 - 2016-01-09,25
2016-01-10 - 2016-01-16,30
2016-01-17 - 2016-01-23,30
2016-01-24 - 2016-01-30,34
2016-01-31 - 2016-02-06,33
2016-02-07 - 2016-02-13,32
2016-02-14 - 2016-02-20,31
2016-02-21 - 2016-02-27,30
2016-02-28 - 2016-03-05,29
2016-03-06 - 2016-03-12,28
2016-03-13 - 2016-03-19,31
2016-03-20 - 2016-03-26,29
2016-03-27 - 2016-04-02,32
2016-04-03 - 2016-04-09,32
2016-04-10 - 2016-04-16,32
2016-04-17 - 2016-04-23,32
2016-04-24 - 2016-04-30,29


Top regions for vrtx
Region,vrtx
United States,100
United Kingdom,35


Top cities for vrtx
City,vrtx
Round Rock (United States),100
Cambridge (United States),36
Boston (United States),9
San Diego (United States),4
Dublin (Ireland),3
New York (United States),2
Bangalore (India),1
Chicago (United States),1
Los Angeles (United States),1
London (United Kingdom),0



Top searches for vrtx
dell vrtx,100
poweredge vrtx,35
dell poweredge vrtx,20
dell vrtx server,10
vrtx stock price,5
dell vrtx price,5
vrtx quote,5
vrtx news,5
yahoo finance vrtx,5
poweredge vrtx price,0
dell vrtx review,0
dell vertex,0
vrtx message board,0
vtrx,0



Rising searches for vrtx
dell poweredge vrtx,Breakout
dell vrtx,Breakout
dell vrtx server,Breakout
poweredge vrtx,Breakout
vrtx stock price,Breakout



